Grid_ID,Latitude,Longitude
1319_7770,13.19896491,77.70567573
1319_7771,13.19776167,77.71121767
1320_7765,13.20173359,77.65810241
1320_7766,13.20460184,77.6654294
1320_7767,13.208791,77.670153
1320_7769,13.2018745,77.6967425
1321_7764,13.21168433,77.645634
1321_7767,13.21814727,77.67236021
1322_7768,13.2223,77.6832176
1322_7769,13.2298289,77.699239
1322_7770,13.2298289,77.702282
1322_7771,13.224718,77.71284
1322_7772,13.22844885,77.72731018
1324_7752,13.2441579,77.52017572
1324_7770,13.24342066,77.70678228
1324_7771,13.24400613,77.71393406
1325_7769,13.2570916,77.6976754
1325_7770,13.25107967,77.70741433
1325_7771,13.25474391,77.71552138
1326_7771,13.26738751,77.71941995
1326_7772,13.26811198,77.72229586
1326_7774,13.266291,77.740695
1327_7770,13.274088,77.709437
1327_7771,13.27692613,77.713123
1328_7776,13.28034,77.76322
1330_7755,13.2877,77.801
1334_7738,13.0742,77.6512
